,dataset,eventId,template,content
31,Thunderbird,E146,Warning: we failed to resolve data source name <*>,"['Warning:', 'we', 'failed', 'to', 'resolve', 'data', 'source', 'name', 'dn270', 'dn271', 'dn272', 'dn273', 'dn274', 'dn275', 'dn276', 'dn277', 'dn278', 'dn279', 'dn280', 'dn281', 'dn282', 'dn283', 'dn284', 'dn285', 'dn286', 'dn287', 'dn288', 'dn289', 'dn290', 'dn291', 'dn292', 'dn293', 'dn294', 'dn295', 'dn296', 'dn297', 'dn298', 'dn299', 'dn300', 'dn301', 'dn302', 'dn303', 'dn304', 'dn305', 'dn306', 'dn307', 'dn308', 'dn309', 'dn310', 'dn311', 'dn312', 'dn313', 'dn314', 'dn315', 'dn316', 'dn317', 'dn318', 'dn319', 'dn320', 'dn321', 'dn322', 'dn323', 'dn324', 'dn325', 'dn326', 'dn327', 'dn328', 'dn329', 'dn330', 'dn331', 'dn332', 'dn333', 'dn334', 'dn335', 'dn336', 'dn337', 'dn338', 'dn339', 'dn340', 'dn341', 'dn342', 'dn343', 'dn344', 'dn345', 'dn346', 'dn347', 'dn348', 'dn349', 'dn350', 'dn351', 'dn352', 'dn353', 'dn354', 'dn355', 'dn356', 'dn357', 'dn358', 'dn359', 'dn360', 'dn361', 'dn362', 'dn363', 'dn364', 'dn365', 'dn366', 'dn367', 'dn368', 'dn369', 'dn370', 'dn371', 'dn372', 'dn373', 'dn374', 'dn375', 'dn376', 'dn377', 'dn378', 'dn379', 'dn380', 'dn381', 'dn382', 'dn383', 'dn384']"
32,Thunderbird,E146,Warning: we failed to resolve data source name <*>,"['Warning:', 'we', 'failed', 'to', 'resolve', 'data', 'source', 'name', 'dn398', 'dn399', 'dn400', 'dn401', 'dn402', 'dn403', 'dn404', 'dn405', 'dn406', 'dn407', 'dn408', 'dn409', 'dn410', 'dn411', 'dn412', 'dn413', 'dn414', 'dn415', 'dn416', 'dn417', 'dn418', 'dn419', 'dn420', 'dn421', 'dn422', 'dn423', 'dn424', 'dn425', 'dn426', 'dn427', 'dn428', 'dn429', 'dn430', 'dn431', 'dn432', 'dn433', 'dn434', 'dn435', 'dn436', 'dn437', 'dn438', 'dn439', 'dn440', 'dn441', 'dn442', 'dn443', 'dn444', 'dn445', 'dn446', 'dn447', 'dn448', 'dn449', 'dn450', 'dn451', 'dn452', 'dn453', 'dn454', 'dn455', 'dn456', 'dn457', 'dn458', 'dn459', 'dn460', 'dn461', 'dn462', 'dn463', 'dn464', 'dn465', 'dn466', 'dn467', 'dn468', 'dn469', 'dn470', 'dn471', 'dn472', 'dn473', 'dn474', 'dn475', 'dn476', 'dn477', 'dn478', 'dn479', 'dn480', 'dn481', 'dn482', 'dn483', 'dn484', 'dn485', 'dn486', 'dn487', 'dn488', 'dn489', 'dn490', 'dn491', 'dn492', 'dn493', 'dn494', 'dn495', 'dn496', 'dn497', 'dn498', 'dn499', 'dn500', 'dn501', 'dn502', 'dn503', 'dn504', 'dn505', 'dn506', 'dn507', 'dn508', 'dn509', 'dn510', 'dn511', 'dn512']"
33,Thunderbird,E146,Warning: we failed to resolve data source name <*>,"['Warning:', 'we', 'failed', 'to', 'resolve', 'data', 'source', 'name', 'dn526', 'dn527', 'dn528', 'dn529', 'dn530', 'dn531', 'dn532', 'dn533', 'dn534', 'dn535', 'dn536', 'dn537', 'dn538', 'dn539', 'dn540', 'dn541', 'dn542', 'dn543', 'dn544', 'dn545', 'dn546', 'dn547', 'dn548', 'dn549', 'dn550', 'dn551', 'dn552', 'dn553', 'dn554', 'dn555', 'dn556', 'dn557', 'dn558', 'dn559', 'dn560', 'dn561', 'dn562', 'dn563', 'dn564', 'dn565', 'dn566', 'dn567', 'dn568', 'dn569', 'dn570', 'dn571', 'dn572', 'dn573', 'dn574', 'dn575', 'dn576', 'dn577', 'dn578', 'dn579', 'dn580', 'dn581', 'dn582', 'dn583', 'dn584', 'dn585', 'dn586', 'dn587', 'dn588', 'dn589', 'dn590', 'dn591', 'dn592', 'dn593', 'dn594', 'dn595', 'dn596', 'dn597', 'dn598', 'dn599', 'dn600', 'dn601', 'dn602', 'dn603', 'dn604', 'dn605', 'dn606', 'dn607', 'dn608', 'dn609', 'dn610', 'dn611', 'dn612', 'dn613', 'dn614', 'dn615', 'dn616', 'dn617', 'dn618', 'dn619', 'dn620', 'dn621', 'dn622', 'dn623', 'dn624', 'dn625', 'dn626', 'dn627', 'dn628', 'dn629', 'dn630', 'dn631', 'dn632', 'dn633', 'dn634', 'dn635', 'dn636', 'dn637', 'dn638', 'dn639', 'dn640']"
34,Thunderbird,E146,Warning: we failed to resolve data source name <*>,"['Warning:', 'we', 'failed', 'to', 'resolve', 'data', 'source', 'name', 'dn654', 'dn655', 'dn656', 'dn657', 'dn658', 'dn659', 'dn660', 'dn661', 'dn662', 'dn663', 'dn664', 'dn665', 'dn666', 'dn667', 'dn668', 'dn669', 'dn670', 'dn671', 'dn672', 'dn673', 'dn674', 'dn675', 'dn676', 'dn677', 'dn678', 'dn679', 'dn680', 'dn681', 'dn682', 'dn683', 'dn684', 'dn685', 'dn686', 'dn687', 'dn688', 'dn689', 'dn690', 'dn691', 'dn692', 'dn693', 'dn694', 'dn695', 'dn696', 'dn697', 'dn698', 'dn699', 'dn700', 'dn701', 'dn702', 'dn703', 'dn704', 'dn705', 'dn706', 'dn707', 'dn708', 'dn709', 'dn710', 'dn711', 'dn712', 'dn713', 'dn714', 'dn715', 'dn716', 'dn717', 'dn718', 'dn719', 'dn720', 'dn721', 'dn722', 'dn723', 'dn724', 'dn725', 'dn726', 'dn727', 'dn728', 'dn729', 'dn730', 'dn731', 'dn732', 'dn733', 'dn734', 'dn735', 'dn736', 'dn737', 'dn738', 'dn739', 'dn740', 'dn741', 'dn742', 'dn743', 'dn744', 'dn745', 'dn746', 'dn747', 'dn748', 'dn749', 'dn750', 'dn751', 'dn752', 'dn753', 'dn754', 'dn755', 'dn756', 'dn757', 'dn758', 'dn759', 'dn760', 'dn761', 'dn762', 'dn763', 'dn764', 'dn765', 'dn766', 'dn767', 'dn768']"
35,Thunderbird,E146,Warning: we failed to resolve data source name <*>,"['Warning:', 'we', 'failed', 'to', 'resolve', 'data', 'source', 'name', 'dn782', 'dn783', 'dn784', 'dn785', 'dn786', 'dn787', 'dn788', 'dn789', 'dn790', 'dn791', 'dn792', 'dn793', 'dn794', 'dn795', 'dn796', 'dn797', 'dn798', 'dn799', 'dn800', 'dn801', 'dn802', 'dn803', 'dn804', 'dn805', 'dn806', 'dn807', 'dn808', 'dn809', 'dn810', 'dn811', 'dn812', 'dn813', 'dn814', 'dn815', 'dn816', 'dn817', 'dn818', 'dn819', 'dn820', 'dn821', 'dn822', 'dn823', 'dn824', 'dn825', 'dn826', 'dn827', 'dn828', 'dn829', 'dn830', 'dn831', 'dn832', 'dn833', 'dn834', 'dn835', 'dn836', 'dn837', 'dn838', 'dn839', 'dn840', 'dn841', 'dn842', 'dn843', 'dn844', 'dn845', 'dn846', 'dn847', 'dn848', 'dn849', 'dn850', 'dn851', 'dn852', 'dn853', 'dn854', 'dn855', 'dn856', 'dn857', 'dn858', 'dn859', 'dn860', 'dn861', 'dn862', 'dn863', 'dn864', 'dn865', 'dn866', 'dn867', 'dn868', 'dn869', 'dn870', 'dn871', 'dn872', 'dn873', 'dn874', 'dn875', 'dn876', 'dn877', 'dn878', 'dn879', 'dn880', 'dn881', 'dn882', 'dn883', 'dn884', 'dn885', 'dn886', 'dn887', 'dn888', 'dn889', 'dn890', 'dn891', 'dn892', 'dn893', 'dn894', 'dn895', 'dn896']"
36,Thunderbird,E146,Warning: we failed to resolve data source name <*>,"['Warning:', 'we', 'failed', 'to', 'resolve', 'data', 'source', 'name', 'dn910', 'dn911', 'dn912', 'dn913', 'dn914', 'dn915', 'dn916', 'dn917', 'dn918', 'dn919', 'dn920', 'dn921', 'dn922', 'dn923', 'dn924', 'dn925', 'dn926', 'dn927', 'dn928', 'dn929', 'dn930', 'dn931', 'dn932', 'dn933', 'dn934', 'dn935', 'dn936', 'dn937', 'dn938', 'dn939', 'dn940', 'dn941', 'dn942', 'dn943', 'dn944', 'dn945', 'dn946', 'dn947', 'dn948', 'dn949', 'dn950', 'dn951', 'dn952', 'dn953', 'dn954', 'dn955', 'dn956', 'dn957', 'dn958', 'dn959', 'dn960', 'dn961', 'dn962', 'dn963', 'dn964', 'dn965', 'dn966', 'dn967', 'dn968', 'dn969', 'dn970', 'dn971', 'dn972', 'dn973', 'dn974', 'dn975', 'dn976', 'dn977', 'dn978', 'dn979', 'dn980', 'dn981', 'dn982', 'dn983', 'dn984', 'dn985', 'dn986', 'dn987', 'dn988', 'dn989', 'dn990', 'dn991', 'dn992', 'dn993', 'dn994', 'dn995', 'dn996', 'dn997', 'dn998', 'dn999', 'dn1000', 'dn1001', 'dn1002', 'dn1003', 'dn1004', 'dn1005', 'dn1006', 'dn1007', 'dn1008', 'dn1009', 'dn1010', 'dn1011', 'dn1012', 'dn1013', 'dn1014', 'dn1015', 'dn1016', 'dn1017', 'dn1018', 'dn1019', 'dn1020', 'dn1021', 'dn1022', 'dn1023', 'dn1024']"
37,Thunderbird,E111,RRD_update (/var/lib/ganglia/rrds/<*>.rrd): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),"['RRD_update', '(/var/lib/ganglia/rrds/D', 'Nodes/dn731/pkts_out.rrd):', 'illegal', 'attempt', 'to', 'update', 'using', 'time', '1131563473', 'when', 'last', 'update', 'time', 'is', '1131563473', '(minimum', 'one', 'second', 'step)']"
38,Andriod,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['release:lock=189667585,', 'flg=0x0,', 'tag=""*launch*"",', 'name=android"",', 'ws=WorkSource{10113},', 'uid=1000,', 'pid=1702']"
39,Andriod,E41,Destroying surface Surface(name=<*>) called by <*>,"['Destroying', 'surface', 'Surface(name=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity)', 'called', 'by', 'com.android.server.wm.WindowStateAnimator.destroySurface:2060', 'com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913', 'com.android.server.wm.WindowState.destroyOrSaveSurface:2201', 'com.android.server.wm.WindowManagerService.tryStartExitingAnimation:3299', 'com.android.server.wm.WindowManagerService.relayoutWindow:3179', 'com.android.server.wm.Session.relayout:215', 'android.view.IWindowSession$Stub.onTransact:286', 'com.android.server.wm.Session.onTransact:136']"
40,Andriod,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['release:lock=62617001,', 'flg=0x0,', 'tag=""WindowManager"",', 'name=android"",', 'ws=WorkSource{10113},', 'uid=1000,', 'pid=1702']"
41,Andriod,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['release:lock=226887582,', 'flg=0x0,', 'tag=""SCREEN_FROZEN"",', 'name=android"",', 'ws=null,', 'uid=1000,', 'pid=1702']"
42,Andriod,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['acquire', 'lock=166121161,', 'flags=0x1,', 'tag=""RILJ_ACK_WL"",', 'name=com.android.phone,', 'ws=null,', 'uid=1001,', 'pid=2626']"
43,Andriod,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['release:lock=166121161,', 'flg=0x0,', 'tag=""RILJ_ACK_WL"",', 'name=com.android.phone"",', 'ws=null,', 'uid=1001,', 'pid=2626']"
44,Andriod,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['release:lock=264232593,', 'flg=0x0,', 'tag=""AudioMix"",', 'name=audioserver"",', 'ws=null,', 'uid=1041,', 'pid=0']"
45,Andriod,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['acquire', 'lock=189667585,', 'flags=0x1,', 'tag=""*launch*"",', 'name=android,', 'ws=WorkSource{10113},', 'uid=1000,', 'pid=1702']"
46,Andriod,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['release:lock=189667585,', 'flg=0x0,', 'tag=""*launch*"",', 'name=android"",', 'ws=WorkSource{10113},', 'uid=1000,', 'pid=1702']"
47,Andriod,E41,Destroying surface Surface(name=<*>) called by <*>,"['Destroying', 'surface', 'Surface(name=com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity)', 'called', 'by', 'com.android.server.wm.WindowStateAnimator.destroySurface:2060', 'com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913', 'com.android.server.wm.WindowState.removeLocked:1554', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2691', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2560', 'com.android.server.wm.WindowManagerService.removeWindow:2555']"
48,Andriod,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['acquire', 'lock=189667585,', 'flags=0x1,', 'tag=""*launch*"",', 'name=android,', 'ws=WorkSource{10111},', 'uid=1000,', 'pid=1702']"
49,Andriod,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['release:lock=189667585,', 'flg=0x0,', 'tag=""*launch*"",', 'name=android"",', 'ws=WorkSource{10111},', 'uid=1000,', 'pid=1702']"
50,Andriod,E41,Destroying surface Surface(name=<*>) called by <*>,"['Destroying', 'surface', 'Surface(name=com.tencent.qt.qtl/com.tencent.qt.qtl.activity.main.MainTabActivity)', 'called', 'by', 'com.android.server.wm.WindowStateAnimator.destroySurface:2060', 'com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913', 'com.android.server.wm.WindowState.destroyOrSaveSurface:2201', 'com.android.server.wm.AppWindowToken.destroySurfaces:374', 'com.android.server.wm.AppWindowToken.notifyAppStopped:400', 'com.android.server.wm.WindowManagerService.notifyAppStopped:4869', 'com.android.server.am.ActivityStack.activityStoppedLocked:1393', 'com.android.server.am.ActivityManagerService.activityStopped:7690']"
51,Andriod,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['acquire', 'lock=237091223,', 'flags=0x1,', 'tag=""WiredAccessoryManager"",', 'name=android,', 'ws=null,', 'uid=1000,', 'pid=1702']"
52,Andriod,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['acquire', 'lock=86152250,', 'flags=0x1,', 'tag=""handleAudioEvent"",', 'name=android,', 'ws=null,', 'uid=1000,', 'pid=1702']"
53,Andriod,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['release:lock=237091223,', 'flg=0x0,', 'tag=""WiredAccessoryManager"",', 'name=android"",', 'ws=null,', 'uid=1000,', 'pid=1702']"
54,Andriod,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['acquire', 'lock=219829192,', 'flags=0x1,', 'tag=""AudioMix"",', 'name=audioserver,', 'ws=null,', 'uid=1041,', 'pid=0']"
55,Andriod,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['release:lock=86152250,', 'flg=0x0,', 'tag=""handleAudioEvent"",', 'name=android"",', 'ws=null,', 'uid=1000,', 'pid=1702']"
56,Andriod,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['release:lock=219829192,', 'flg=0x0,', 'tag=""AudioMix"",', 'name=audioserver"",', 'ws=null,', 'uid=1041,', 'pid=0']"
57,Andriod,E41,Destroying surface Surface(name=<*>) called by <*>,"['Destroying', 'surface', 'Surface(name=PopupWindow:9b04807)', 'called', 'by', 'com.android.server.wm.WindowStateAnimator.destroySurface:2060', 'com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913', 'com.android.server.wm.WindowState.removeLocked:1554', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2691', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2560', 'com.android.server.wm.WindowManagerService.removeWindow:2555']"
58,Andriod,E41,Destroying surface Surface(name=<*>) called by <*>,"['Destroying', 'surface', 'Surface(name=PopupWindow:317e46)', 'called', 'by', 'com.android.server.wm.WindowStateAnimator.destroySurface:2060', 'com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913', 'com.android.server.wm.WindowState.removeLocked:1554', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2691', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2560', 'com.android.server.wm.WindowManagerService.removeWindow:2555']"
59,Andriod,E41,Destroying surface Surface(name=<*>) called by <*>,"['Destroying', 'surface', 'Surface(name=PopupWindow:d76a91d)', 'called', 'by', 'com.android.server.wm.WindowStateAnimator.destroySurface:2060', 'com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913', 'com.android.server.wm.WindowState.removeLocked:1554', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2691', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2560', 'com.android.server.wm.WindowManagerService.removeWindow:2555']"
60,Andriod,E41,Destroying surface Surface(name=<*>) called by <*>,"['Destroying', 'surface', 'Surface(name=PopupWindow:9b04807)', 'called', 'by', 'com.android.server.wm.WindowStateAnimator.destroySurface:2060', 'com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913', 'com.android.server.wm.WindowState.removeLocked:1554', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2691', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2560', 'com.android.server.wm.WindowManagerService.removeWindow:2555']"
61,Andriod,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['acquire', 'lock=60373518,', 'flags=0x1,', 'tag=""RILJ_ACK_WL"",', 'name=com.android.phone,', 'ws=null,', 'uid=1001,', 'pid=2626']"
62,Andriod,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['release:lock=60373518,', 'flg=0x0,', 'tag=""RILJ_ACK_WL"",', 'name=com.android.phone"",', 'ws=null,', 'uid=1001,', 'pid=2626']"
63,Andriod,E41,Destroying surface Surface(name=<*>) called by <*>,"['Destroying', 'surface', 'Surface(name=PopupWindow:d76a91d)', 'called', 'by', 'com.android.server.wm.WindowStateAnimator.destroySurface:2060', 'com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913', 'com.android.server.wm.WindowState.removeLocked:1554', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2691', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2560', 'com.android.server.wm.WindowManagerService.removeWindow:2555']"
64,Andriod,E41,Destroying surface Surface(name=<*>) called by <*>,"['Destroying', 'surface', 'Surface(name=PopupWindow:9b04807)', 'called', 'by', 'com.android.server.wm.WindowStateAnimator.destroySurface:2060', 'com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913', 'com.android.server.wm.WindowState.removeLocked:1554', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2691', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2560', 'com.android.server.wm.WindowManagerService.removeWindow:2555']"
65,Andriod,E41,Destroying surface Surface(name=<*>) called by <*>,"['Destroying', 'surface', 'Surface(name=PopupWindow:9b04807)', 'called', 'by', 'com.android.server.wm.WindowStateAnimator.destroySurface:2060', 'com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913', 'com.android.server.wm.WindowState.removeLocked:1554', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2691', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2560', 'com.android.server.wm.WindowManagerService.removeWindow:2555']"
66,Andriod,E41,Destroying surface Surface(name=<*>) called by <*>,"['Destroying', 'surface', 'Surface(name=PopupWindow:317e46)', 'called', 'by', 'com.android.server.wm.WindowStateAnimator.destroySurface:2060', 'com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913', 'com.android.server.wm.WindowState.removeLocked:1554', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2691', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2560', 'com.android.server.wm.WindowManagerService.removeWindow:2555']"
67,Andriod,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['acquire', 'lock=134680583,', 'flags=0x1,', 'tag=""RILJ_ACK_WL"",', 'name=com.android.phone,', 'ws=null,', 'uid=1001,', 'pid=2626']"
68,Andriod,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['release:lock=134680583,', 'flg=0x0,', 'tag=""RILJ_ACK_WL"",', 'name=com.android.phone"",', 'ws=null,', 'uid=1001,', 'pid=2626']"
69,Andriod,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['acquire', 'lock=134680583,', 'flags=0x1,', 'tag=""RILJ_ACK_WL"",', 'name=com.android.phone,', 'ws=null,', 'uid=1001,', 'pid=2626']"
70,Andriod,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['acquire', 'lock=134680583,', 'flags=0x1,', 'tag=""RILJ_ACK_WL"",', 'name=com.android.phone,', 'ws=null,', 'uid=1001,', 'pid=2626']"
71,Andriod,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['release:lock=134680583,', 'flg=0x0,', 'tag=""RILJ_ACK_WL"",', 'name=com.android.phone"",', 'ws=null,', 'uid=1001,', 'pid=2626']"
72,Andriod,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['acquire', 'lock=120758482,', 'flags=0x1,', 'tag=""RILJ_ACK_WL"",', 'name=com.android.phone,', 'ws=null,', 'uid=1001,', 'pid=2626']"
73,Andriod,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['release:lock=120758482,', 'flg=0x0,', 'tag=""RILJ_ACK_WL"",', 'name=com.android.phone"",', 'ws=null,', 'uid=1001,', 'pid=2626']"
74,Andriod,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['acquire', 'lock=120758482,', 'flags=0x1,', 'tag=""RILJ_ACK_WL"",', 'name=com.android.phone,', 'ws=null,', 'uid=1001,', 'pid=2626']"
75,Andriod,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['acquire', 'lock=120758482,', 'flags=0x1,', 'tag=""RILJ_ACK_WL"",', 'name=com.android.phone,', 'ws=null,', 'uid=1001,', 'pid=2626']"
76,Andriod,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['release:lock=120758482,', 'flg=0x0,', 'tag=""RILJ_ACK_WL"",', 'name=com.android.phone"",', 'ws=null,', 'uid=1001,', 'pid=2626']"
77,Andriod,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['acquire', 'lock=120758482,', 'flags=0x1,', 'tag=""RILJ_ACK_WL"",', 'name=com.android.phone,', 'ws=null,', 'uid=1001,', 'pid=2626']"
78,Andriod,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['acquire', 'lock=120758482,', 'flags=0x1,', 'tag=""RILJ_ACK_WL"",', 'name=com.android.phone,', 'ws=null,', 'uid=1001,', 'pid=2626']"
79,Andriod,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['release:lock=120758482,', 'flg=0x0,', 'tag=""RILJ_ACK_WL"",', 'name=com.android.phone"",', 'ws=null,', 'uid=1001,', 'pid=2626']"
80,Andriod,E41,Destroying surface Surface(name=<*>) called by <*>,"['Destroying', 'surface', 'Surface(name=PopupWindow:317e46)', 'called', 'by', 'com.android.server.wm.WindowStateAnimator.destroySurface:2060', 'com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913', 'com.android.server.wm.WindowState.removeLocked:1554', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2691', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2560', 'com.android.server.wm.WindowManagerService.removeWindow:2555']"
81,Andriod,E41,Destroying surface Surface(name=<*>) called by <*>,"['Destroying', 'surface', 'Surface(name=InputMethod)', 'called', 'by', 'com.android.server.wm.WindowStateAnimator.destroySurface:2060', 'com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913', 'com.android.server.wm.WindowState.destroyOrSaveSurface:2201', 'com.android.server.wm.WindowSurfacePlacer.performSurfacePlacementInner:517', 'com.android.server.wm.WindowSurfacePlacer.performSurfacePlacementLoop:291', 'com.android.server.wm.WindowSurfacePlacer.performSurfacePlacement:233', 'com.android.server.wm.WindowManagerService$H.handleMessage:8670', 'android.os.Handler.dispatchMessage:105']"
82,Andriod,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['acquire', 'lock=189667585,', 'flags=0x1,', 'tag=""*launch*"",', 'name=android,', 'ws=WorkSource{10057},', 'uid=1000,', 'pid=1702']"
83,Andriod,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","['release:lock=189667585,', 'flg=0x0,', 'tag=""*launch*"",', 'name=android"",', 'ws=WorkSource{10057},', 'uid=1000,', 'pid=1702']"
